work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,Senior,FT,Data Scientist,127000,USD,127000,US,0,US,M
2023,Senior,FT,Business Intelligence Analyst,127000,USD,127000,US,0,US,M
2024,Entry,FT,Research Assistant,52500,USD,52500,US,0,US,M
2024,Senior,FT,AI Engineer,164071,USD,164071,US,0,US,M
2025,Senior,FT,Data Analytics Lead,352000,USD,352000,US,100,US,M
2024,Senior,FT,Research Scientist,110100,USD,110100,US,0,US,M
2024,Entry,FT,Data Analyst,86600,USD,86600,US,0,US,M
2023,Entry,FT,Machine Learning Engineer,220000,USD,220000,US,0,US,M
2025,Senior,FT,Data Engineer,150491,USD,150491,US,0,US,M
2024,Mid,FT,AI Engineer,36000,USD,36000,MX,100,MX,M
2024,Senior,FT,Data Governance Engineer,155100,USD,155100,US,0,US,M
2024,Mid,FT,Data Engineer,95300,USD,95300,US,100,US,M
2023,Senior,FT,Data Analyst,98000,USD,98000,US,0,US,M
2024,Senior,FT,Solutions Engineer,150000,USD,150000,US,100,US,M
2024,Senior,FT,Engineer,180500,USD,180500,US,100,US,M
2025,Mid,FT,Data Scientist,245000,USD,245000,US,0,US,M
2024,Senior,FT,Engineer,162500,CAD,125000,CA,100,CA,M
2022,Senior,FT,Data Specialist,221300,USD,221300,US,100,US,L
2024,Entry,FT,Consultant,118500,USD,118500,US,0,US,M
2024,Senior,FT,Data Engineer,150900,USD,150900,US,0,US,M
2024,Senior,FT,AI Solution Architect,283850,USD,283850,US,100,US,M
2025,Senior,FT,Manager,159840,USD,159840,US,0,US,M
2025,Mid,FT,Manager,175409,USD,175409,US,0,US,M
2024,Senior,FT,Data Engineer,64000,USD,64000,US,0,US,M
2023,Mid,FT,Data Specialist,75000,USD,75000,US,0,US,M
2024,Mid,FT,Backend Engineer,164200,USD,164200,US,100,US,M
2024,Mid,FT,Data Scientist,279500,USD,279500,US,100,US,M
2025,Senior,FT,Data Engineer,84000,USD,84000,US,0,US,M
2024,Executive,FT,Data Analyst,213480,USD,213480,US,0,US,M
2025,Entry,FT,Data Analyst,98140,USD,98140,US,0,US,M
2024,Senior,FT,Research Scientist,86000,USD,86000,US,0,US,M
2025,Senior,FT,Data Scientist,335720,USD,335720,US,100,US,M
2023,Mid,CT,Data Engineer,42000,USD,42000,IN,100,US,M
2025,Mid,FT,Data Engineer,145000,USD,145000,US,100,US,M
2023,Senior,FT,Data Scientist,172500,USD,172500,US,0,US,M
2025,Senior,FT,Data Engineer,202560,USD,202560,US,0,US,M
2024,Senior,FT,Data Manager,130000,USD,130000,US,0,US,M
2024,Mid,FT,Data Analyst,106000,USD,106000,US,0,US,M
2024,Senior,FT,Research Engineer,165000,USD,165000,US,0,US,M
2021,Entry,FT,BI Data Analyst,55000,USD,55000,US,50,US,S
2024,Entry,FT,Data Analyst,74598,USD,74598,US,100,US,M
2024,Senior,FT,Manager,389500,USD,389500,US,0,US,M
2025,Senior,FT,Analyst,71070,USD,71070,CA,0,CA,M
2025,Mid,FT,Data Scientist,190000,USD,190000,US,0,US,M
2025,Senior,FT,Consultant,75000,USD,75000,US,0,US,M
2025,Senior,FT,Data Analyst,88500,USD,88500,US,0,US,M
2024,Senior,FT,Analyst,143900,USD,143900,US,0,US,M
2024,Mid,FT,BI Developer,90000,USD,90000,US,0,US,M
2024,Mid,FT,Associate,80784,USD,80784,US,0,US,M
2024,Mid,FT,Data Analyst,87447,USD,87447,US,100,US,M
2024,Mid,FT,Data Scientist,172000,USD,172000,IT,0,IT,M
2025,Senior,FT,Data Analyst,58692,EUR,61781,LT,100,LT,M
2024,Entry,FT,Software Developer,53950,USD,53950,US,0,US,M
2024,Senior,FT,Research Scientist,250000,USD,250000,US,0,US,M
2025,Senior,FT,Data Engineer,90440,GBP,114481,GB,0,GB,M
2025,Mid,FT,Manager,210000,USD,210000,US,100,US,M
2025,Entry,FT,Analyst,70600,USD,70600,US,0,US,M
2024,Entry,FT,Analyst,93800,USD,93800,US,0,US,M
2024,Mid,FT,Associate,39105,GBP,48881,GB,0,GB,M
2024,Mid,FT,Research Scientist,214032,USD,214032,US,0,US,M
2023,Senior,FT,Data Engineer,206000,USD,206000,US,0,US,M
2025,Mid,FT,Analyst,80000,USD,80000,US,0,US,M
2024,Senior,FT,System Engineer,196100,USD,196100,US,0,US,M
2025,Mid,FT,Associate,171556,USD,171556,US,0,US,M
2024,Senior,FT,Engineer,285000,USD,285000,US,0,US,M
2024,Senior,FT,Data Engineer,218000,USD,218000,US,0,US,M
2025,Senior,FT,Data Scientist,130000,USD,130000,US,0,US,M
2024,Entry,FT,Data Analyst,64200,USD,64200,CA,0,CA,M
2025,Entry,FT,Analyst,54000,USD,54000,US,0,US,M
2025,Senior,FT,Analyst,124600,USD,124600,US,0,US,M
2024,Senior,FT,Principal Statistical Programmer,130400,USD,130400,US,0,US,M
2025,Entry,FT,Data Analyst,94622,USD,94622,US,100,US,M
2023,Senior,FT,Data Analyst,134200,USD,134200,GB,0,GB,M
2024,Senior,FT,Machine Learning Engineer,170600,USD,170600,US,0,US,M
2024,Mid,FT,Manager,197500,USD,197500,US,0,US,M
2024,Senior,FT,Data Scientist,93500,USD,93500,US,100,US,M
2024,Senior,FT,AI Engineer,76500,USD,76500,BR,100,BR,M
2024,Senior,FT,Data Architect,126800,USD,126800,US,100,US,M
2025,Senior,FT,Machine Learning Engineer,198000,USD,198000,US,0,US,M
2023,Senior,FT,Data Analyst,131325,USD,131325,US,100,US,M
2025,Mid,FT,Analytics Engineer,50200,EUR,52842,NL,0,NL,M
2025,Senior,FT,Product Manager,55560,EUR,58484,LT,0,LT,M
2024,Senior,FT,Data Architect,212000,USD,212000,US,0,US,M
2024,Senior,FT,Data Scientist,278700,USD,278700,US,0,US,M
2024,Mid,FT,Research Scientist,212800,USD,212800,US,0,US,M
2025,Senior,FT,Data Analyst,145000,USD,145000,US,100,US,M
2024,Entry,FT,Insight Analyst,45954,GBP,57442,GB,0,GB,M
2025,Senior,FT,Software Engineer,245100,USD,245100,US,0,US,M
2024,Senior,FT,Data Engineer,162225,USD,162225,US,0,US,M
2025,Mid,FT,Data Scientist,80500,USD,80500,US,0,US,M
2025,Mid,FT,Solutions Engineer,75600,USD,75600,US,0,US,M
2022,Mid,FT,Data Engineer,75360,EUR,79178,LT,0,LT,M
2024,Mid,FT,AI Engineer,125000,USD,125000,US,100,US,M
2025,Entry,FT,Actuarial Analyst,135000,USD,135000,US,100,US,M
2024,Senior,FT,Research Scientist,128000,USD,128000,US,100,US,M
2025,Senior,FT,Quantitative Analyst,158600,USD,158600,US,0,US,M
2025,Mid,FT,Data Governance Specialist,68775,USD,68775,CA,0,CA,M
2024,Senior,FT,Manager,96600,USD,96600,US,0,US,M
2025,Mid,FT,Analyst,173300,USD,173300,US,0,US,M
2024,Entry,FT,Data Engineer,87840,USD,87840,US,0,US,L
2024,Entry,FT,Data Analyst,38916,GBP,48645,GB,0,GB,M
2024,Mid,FT,Research Scientist,88900,USD,88900,US,0,US,M
2025,Senior,FT,Machine Learning Engineer,146000,USD,146000,US,0,US,M
2024,Senior,FT,Data Engineer,237100,USD,237100,US,100,US,M
2024,Senior,FT,Software Engineer,189000,USD,189000,US,0,US,M
2025,Senior,FT,Engineer,257600,USD,257600,US,0,US,M
2025,Mid,FT,Data Scientist,93750,USD,93750,US,100,US,M
2024,Entry,FT,Analyst,144400,USD,144400,US,100,US,M
2024,Mid,FT,Data Analyst,54000,EUR,60000,NL,0,NL,M
2025,Mid,FT,Associate,225000,USD,225000,US,0,US,M
2024,Senior,FT,Research Scientist,175750,USD,175750,US,0,US,M
2024,Senior,FT,Research Scientist,408500,USD,408500,US,0,US,M
2025,Mid,FT,Developer,89460,USD,89460,US,0,US,M
2024,Mid,FT,Data Analyst,86100,USD,86100,CA,0,CA,M
2023,Senior,FT,Research Scientist,374000,USD,374000,US,0,US,M
2024,Entry,FT,Data Analyst,79643,USD,79643,US,0,US,M
2024,Senior,FT,Lead Engineer,170700,USD,170700,US,100,US,M
2025,Senior,FT,Machine Learning Engineer,291500,USD,291500,US,0,US,M
2025,Executive,FT,Data Engineer,200000,USD,200000,US,0,US,M
2025,Senior,FT,Machine Learning Engineer,332600,USD,332600,US,0,US,M
2024,Senior,FT,Analyst,200000,USD,200000,US,100,US,M
2023,Senior,FT,Data Lead,80000,USD,80000,US,0,US,M
2025,Mid,FT,Engineer,185000,USD,185000,US,0,US,M
2025,Senior,FT,AI Scientist,182161,USD,182161,US,0,US,M
2025,Senior,FT,Analyst,115000,USD,115000,US,100,US,M
2024,Entry,FT,Data Scientist,61836,EUR,68706,NL,0,NL,M
2024,Mid,FT,Data Engineer,85700,USD,85700,US,0,US,M
2024,Mid,FT,Software Engineer,237000,USD,237000,US,0,US,M
2024,Mid,FT,Engineering Manager,166881,USD,166881,US,0,US,M
2024,Mid,FT,Machine Learning Developer,125000,USD,125000,CA,0,CA,M
2024,Senior,FT,Data Scientist,183503,USD,183503,US,0,US,M
2024,Mid,FT,Machine Learning Scientist,130000,USD,130000,CA,0,CA,M
2025,Entry,FT,AI Researcher,231100,USD,231100,US,100,US,M
2024,Senior,FT,Data Analytics Lead,166000,USD,166000,US,0,US,M
2025,Senior,FT,Developer,253000,USD,253000,US,0,US,M
2025,Mid,FT,Data Scientist,440000,USD,440000,US,0,US,M
2024,Mid,FT,Data Engineer,89102,USD,89102,US,0,US,M
2025,Mid,FT,Analyst,150000,USD,150000,US,0,US,M
2025,Senior,FT,Data Engineer,171800,USD,171800,US,0,US,M
2025,Senior,FT,Data Scientist,129639,USD,129639,US,100,US,M
2024,Senior,FT,Applied Scientist,280000,USD,280000,US,0,US,M
2025,Mid,FT,Software Engineer,175950,USD,175950,US,0,US,M
2025,Entry,FT,Business Intelligence Developer,74150,USD,74150,US,0,US,M
2024,Senior,FT,Software Engineer,198000,USD,198000,US,0,US,M
2025,Mid,FT,Data Scientist,89083,USD,89083,US,0,US,M
2025,Senior,FT,Data Scientist,128000,USD,128000,US,0,US,M
2024,Mid,FT,Data Engineer,76115,USD,76115,US,0,US,M
2025,Entry,FT,Data Specialist,45732,EUR,48138,NL,0,NL,M
2024,Mid,FT,Software Developer,276000,USD,276000,US,0,US,M
2024,Mid,FT,Data Product Manager,170000,USD,170000,US,100,US,M
2025,Entry,FT,Data Governance Analyst,150000,USD,150000,US,0,US,M
2024,Mid,FT,Consultant,45000,USD,45000,US,0,US,M
2025,Mid,FT,Database Administrator,145000,USD,145000,US,100,US,M
2025,Senior,FT,Engineer,184750,USD,184750,US,100,US,M
2024,Executive,FT,Software Engineer,260850,USD,260850,US,0,US,M
2025,Senior,FT,Research Scientist,408500,USD,408500,US,0,US,M
2023,Senior,FT,Data Engineer,72000,USD,72000,AR,100,AR,M
2025,Senior,FT,Manager,146800,USD,146800,US,0,US,M
2024,Entry,FT,Site Reliability Engineer,139650,USD,139650,US,0,US,M
2024,Senior,FT,Data Architect,204000,USD,204000,US,0,US,M
2025,Entry,FT,Data Analyst,100000,USD,100000,CA,100,CA,M
2024,Entry,FT,Data Analyst,70000,USD,70000,US,100,US,M
2025,Senior,FT,Analyst,224100,USD,224100,CA,0,CA,M
2025,Senior,FT,Applied Scientist,117200,USD,117200,US,0,US,M
2024,Senior,FT,Engineer,107600,USD,107600,US,100,US,L
2022,Senior,FT,Applied Scientist,192000,USD,192000,US,100,US,M
2025,Mid,FT,Manager,135742,USD,135742,US,0,US,M
2025,Entry,FT,AI Engineer,135000,USD,135000,US,0,US,M
2024,Mid,CT,BI Developer,120000,USD,120000,US,0,US,M
2025,Mid,FT,Analytics Engineer,125000,GBP,158227,GB,100,GB,M
2025,Senior,FT,Analyst,120000,USD,120000,US,0,US,M
2025,Senior,FT,Data Management Specialist,62700,USD,62700,US,0,US,M
2024,Senior,FT,Frontend Engineer,130000,USD,130000,US,0,US,M
2025,Mid,FT,Data Management Specialist,62000,USD,62000,US,0,US,M
2025,Mid,FT,Manager,155542,USD,155542,US,0,US,M
2024,Senior,FT,Product Manager,180000,USD,180000,US,0,US,M
2025,Senior,FT,Systems Engineer,200000,USD,200000,US,0,US,M
2024,Entry,FT,Data Engineer,75705,USD,75705,US,0,US,M
2024,Mid,FT,Software Engineer,240000,USD,240000,US,0,US,M
2025,Senior,FT,Data Scientist,104650,USD,104650,US,0,US,M
2025,Mid,FT,Manager,119970,USD,119970,US,0,US,M
2024,Senior,FT,Data Analyst,57000,USD,57000,US,0,US,M
2024,Senior,FT,Systems Engineer,276000,USD,276000,US,0,US,M
2025,Senior,FT,Data Analyst,217500,USD,217500,US,100,US,M
2024,Mid,FT,Manager,151650,USD,151650,US,0,US,M
2022,Mid,FT,Data Engineer,55000,GBP,67723,GB,100,GB,M
2025,Entry,FT,Analyst,50400,EUR,53052,LT,0,LT,M
2024,Senior,FT,Data Management Specialist,170000,USD,170000,US,0,US,M
2024,Mid,FT,Software Engineer,215000,USD,215000,CA,0,CA,M
2024,Entry,FT,Data Analyst,120000,USD,120000,US,0,US,M
2025,Mid,FT,Data Engineer,116300,USD,116300,US,100,US,M
2025,Mid,FT,Software Engineer,163862,USD,163862,US,0,US,M
2025,Senior,FT,Analytics Engineer,40800,EUR,42947,LT,0,LT,M
2024,Senior,FT,Data Engineer,187000,USD,187000,US,0,US,M
2025,Mid,FT,AI Engineer,225000,USD,225000,US,0,US,M
2024,Senior,FT,Engineer,176800,USD,176800,US,0,US,M
2024,Senior,FT,Software Engineer,201500,USD,201500,US,0,US,M
2024,Senior,FT,Data Operations Analyst,75000,USD,75000,US,100,US,M
2024,Senior,FT,Manager,269525,USD,269525,US,100,US,M
2024,Senior,FT,Data Architect,270000,USD,270000,US,0,US,M
2024,Mid,FT,Data Specialist,45790,USD,45790,US,0,US,M
2024,Senior,FT,Software Engineer,190000,USD,190000,US,100,US,M
2024,Mid,FT,Data Product Owner,97000,USD,97000,US,100,US,M
2024,Senior,FT,Software Engineer,101500,USD,101500,US,0,US,M
2024,Senior,FT,Engineer,181050,USD,181050,US,0,US,M
2024,Senior,FT,Machine Learning Engineer,25000,USD,25000,US,0,US,M
2024,Senior,FT,Software Engineer,138900,USD,138900,US,0,US,M
2024,Mid,FT,Software Engineer,207760,USD,207760,US,0,US,M
2024,Senior,FT,Data Analyst,107197,USD,107197,US,0,US,M
2023,Senior,FT,Data Scientist,82365,USD,82365,US,0,US,M
2025,Executive,FT,Data Quality Analyst,95000,USD,95000,US,0,US,M
2024,Senior,FT,Data Scientist,129500,USD,129500,US,0,US,M
2024,Senior,FT,Bioinformatics Scientist,146800,USD,146800,US,100,US,M
2024,Senior,FT,Data Architect,178090,USD,178090,US,0,US,M
2025,Mid,FT,Product Manager,110000,USD,110000,US,0,US,M
2025,Entry,FT,Data Analyst,70180,USD,70180,US,0,US,M
2025,Senior,FT,Data Engineer,188000,USD,188000,US,100,US,M
2023,Senior,FT,Data Scientist,256000,USD,256000,US,100,US,M
2024,Senior,FT,Data Operations Manager,190000,USD,190000,US,100,US,M
2023,Mid,FT,Data Scientist,106200,USD,106200,US,0,US,M
2025,Mid,FT,Manager,98300,USD,98300,CA,100,CA,M
2023,Senior,FT,Machine Learning Engineer,263500,USD,263500,US,100,US,M
2024,Senior,FT,Data Management Analyst,150500,USD,150500,US,0,US,M
2025,Entry,FT,Data Analyst,106200,USD,106200,US,100,US,M
2024,Senior,FT,AI Engineer,139400,USD,139400,US,0,US,M
2024,Mid,FT,Product Manager,165120,USD,165120,US,0,US,M
2025,Entry,FT,Data Analyst,127774,USD,127774,US,0,US,M
2025,Mid,FT,Engineer,229000,USD,229000,US,0,US,M
2023,Senior,FT,Data Engineer,82365,USD,82365,US,100,US,M
2025,Mid,FT,Data Engineer,77570,USD,77570,US,0,US,M
2025,Senior,FT,Data Governance,110000,USD,110000,US,0,US,M
2024,Mid,FT,Data Engineer,105000,GBP,131250,GB,0,GB,M
2024,Senior,FT,Data Engineer,127000,USD,127000,US,100,US,M
2024,Entry,FT,Data Analyst,47500,USD,47500,US,100,US,M
2024,Senior,FT,Data Architect,105500,USD,105500,US,0,US,M
2024,Senior,FT,AI Engineer,180000,USD,180000,US,0,US,S
2025,Entry,FT,Data Analyst,37440,USD,37440,US,0,US,M
2025,Senior,FT,Software Engineer,405000,USD,405000,US,0,US,M
2024,Senior,FT,Data Analyst,92036,USD,92036,US,100,US,M
2023,Senior,FT,Data Scientist,202000,USD,202000,US,100,US,M
2024,Mid,FT,Machine Learning Engineer,170000,USD,170000,US,0,US,M
2025,Senior,FT,Software Engineer,222300,USD,222300,US,0,US,M
2025,Senior,FT,Solution Architect,180000,USD,180000,US,100,US,M
2022,Entry,FT,Data Analyst,46000,USD,46000,US,100,US,L
2024,Senior,FT,Machine Learning Engineer,198000,USD,198000,US,0,US,M
2025,Executive,FT,Data Scientist,170000,USD,170000,US,0,US,M
2024,Senior,FT,Data Architect,118880,USD,118880,US,0,US,M
2023,Executive,FT,Data Engineer,250000,USD,250000,US,0,US,M
2024,Senior,FT,Data Analyst,114700,USD,114700,US,0,US,M
2024,Entry,FT,Data Operations Analyst,66240,USD,66240,US,100,US,M
2024,Senior,FT,Data Scientist,223000,USD,223000,US,0,US,M
2025,Senior,FT,Analyst,130000,USD,130000,US,100,US,M
2025,Senior,FT,Analyst,134500,USD,134500,US,100,US,M
2024,Senior,FT,Manager,154400,USD,154400,US,0,US,M
2025,Executive,FT,Developer,145440,USD,145440,US,0,US,M
2022,Senior,FT,Analytics Engineer,203500,USD,203500,US,0,US,M
2024,Entry,FT,Business Intelligence Developer,50000,USD,50000,US,0,US,M
2024,Senior,FT,Data Scientist,280000,USD,280000,US,0,US,M
2025,Senior,FT,Data Lead,54000,EUR,56842,NL,0,NL,M
2023,Senior,FT,Data Architect,95500,USD,95500,US,0,US,M
2024,Mid,FT,Big Data Developer,117000,USD,117000,US,0,US,L
2024,Entry,FT,Data Analyst,94068,USD,94068,CA,0,CA,M
2024,Mid,FT,Data Analyst,56392,USD,56392,US,0,US,M
2025,Mid,FT,Associate,242000,USD,242000,US,0,US,M
2025,Mid,FT,Consultant,151300,USD,151300,US,100,US,M
2025,Senior,FT,Data Engineer,180370,USD,180370,US,100,US,M
2025,Senior,FT,Data Governance Lead,137439,USD,137439,US,100,US,M
2025,Executive,FT,Solutions Engineer,187500,USD,187500,US,0,US,M
2023,Entry,FT,Business Intelligence Analyst,44100,USD,44100,US,0,US,M
2025,Mid,FT,Software Engineer,202000,USD,202000,US,0,US,M
2024,Mid,FT,Research Associate,58000,USD,58000,US,0,US,M
2022,Senior,FT,Data Engineer,182500,USD,182500,US,100,US,M
2025,Senior,FT,Analyst,115200,USD,115200,CA,0,CA,M
2024,Entry,FT,Data Analyst,69400,USD,69400,US,0,US,M
2024,Senior,FT,Research Engineer,138000,USD,138000,US,0,US,M
2024,Senior,FT,Business Intelligence Engineer,115000,USD,115000,US,100,US,M
2025,Senior,FT,Data Manager,102000,USD,102000,US,0,US,M
2023,Senior,FT,Data Scientist,149076,USD,149076,US,0,US,M
2025,Mid,FT,Manager,174500,USD,174500,US,0,US,M
2025,Senior,FT,Data Scientist,247600,USD,247600,US,0,US,L
2025,Senior,FT,Manager,293000,USD,293000,US,0,US,M
2024,Senior,FT,AI Engineer,255000,USD,255000,US,100,US,M
2025,Mid,FT,Data Scientist,74600,USD,74600,US,0,US,M
2024,Senior,FT,Engineer,236400,PLN,59100,PL,100,PL,M
2024,Senior,FT,Manager,248000,USD,248000,US,0,US,M
2024,Mid,FT,Prompt Engineer,500000,USD,500000,US,0,US,M
2024,Senior,FT,Manager,120800,USD,120800,US,0,US,M
2025,Senior,FT,Data Analyst,88300,USD,88300,US,0,US,M
2021,Senior,FT,Data Analytics Engineer,50000,USD,50000,VN,100,GB,M
2025,Senior,FT,Data Developer,129639,USD,129639,US,100,US,M
2024,Executive,FT,Engineer,315000,USD,315000,US,0,US,M
2025,Mid,FT,Associate,255000,USD,255000,US,0,US,M
2024,Entry,FT,Data Analyst,41017,USD,41017,US,0,US,M
2024,Entry,FT,Data Engineer,39500,USD,39500,US,0,US,M
2025,Mid,FT,Business Intelligence Developer,76003,USD,76003,US,100,US,M
2025,Senior,FT,Manager,233800,USD,233800,US,0,US,M
2024,Mid,FT,Analytics Engineer,104000,USD,104000,US,100,US,M
2025,Senior,FT,Business Intelligence Developer,131500,USD,131500,US,0,US,M
2024,Mid,FT,Software Developer,74800,USD,74800,US,0,US,M
2025,Mid,FT,Software Engineer,99300,USD,99300,US,100,US,M
2025,Mid,FT,Machine Learning Scientist,720000,USD,720000,US,100,US,M
2024,Senior,FT,Site Reliability Engineer,140000,CHF,159090,CH,0,CH,M
2023,Senior,FT,Data Analyst,108000,USD,108000,US,0,US,M
2023,Senior,FT,Data Engineer,162000,USD,162000,US,100,US,M
2024,Mid,FT,Software Engineer,68000,USD,68000,US,100,US,M
2025,Mid,FT,Data Analyst,135700,USD,135700,US,0,US,M
2025,Senior,FT,Platform Engineer,249000,USD,249000,US,100,US,M
2024,Mid,FT,Engineer,113394,USD,113394,US,0,US,M
2024,Senior,FT,Data Engineer,233500,USD,233500,CA,0,CA,M
2024,Senior,FT,Data Architect,156000,USD,156000,US,100,US,M
2025,Senior,FT,Data Scientist,205000,USD,205000,US,0,US,M
2025,Senior,FT,Data Engineer,100000,GBP,126582,GB,0,GB,M
2024,Senior,FT,Solutions Architect,250000,USD,250000,US,0,US,M
2024,Mid,FT,AI Engineer,120000,USD,120000,CA,0,CA,M
2025,Entry,FT,Data Scientist,60400,USD,60400,US,0,US,M
2025,Senior,FT,Analyst,69000,USD,69000,US,0,US,M
2024,Entry,FT,Product Designer,25000,EUR,27777,IE,0,IE,S
2024,Senior,FT,Software Engineer,200858,USD,200858,US,0,US,M
2023,Senior,FT,Research Analyst,185000,USD,185000,US,0,US,M
2023,Mid,FT,Data Analyst,80000,GBP,98432,GB,0,GB,M
2023,Entry,FT,Data Analyst,88200,USD,88200,US,100,US,M
2024,Senior,FT,Security Engineer,183301,USD,183301,US,100,US,M
2025,Senior,FT,Software Engineer,156800,USD,156800,US,0,US,M
2023,Mid,FT,Data Engineer,200000,USD,200000,US,0,US,M
2025,Mid,FT,Data Management Specialist,117800,USD,117800,US,0,US,M
2024,Senior,FT,Data Analyst,42245,GBP,52806,GB,0,GB,M
2025,Mid,FT,Software Engineer,184800,USD,184800,CA,100,CA,M
2024,Senior,FT,Data Scientist,234000,USD,234000,US,0,US,M
2025,Mid,FT,Bioinformatician,65000,USD,65000,US,0,US,M
2025,Mid,FT,Business Intelligence,200000,USD,200000,US,0,US,M
2024,Mid,FT,Manager,166000,USD,166000,US,0,US,M
2024,Mid,FT,AI Researcher,153000,USD,153000,US,0,US,L
2024,Entry,FT,Engineer,180000,USD,180000,US,0,US,M
2024,Mid,FT,Product Manager,200400,USD,200400,US,0,US,M
2025,Mid,FT,Data Product Owner,224000,USD,224000,US,100,US,M
2024,Senior,FT,Applied Scientist,110000,USD,110000,CA,0,CA,M
2025,Entry,FT,Analyst,234000,USD,234000,US,0,US,M
2025,Entry,FT,Data Analyst,80860,USD,80860,US,0,US,M
2024,Mid,FT,Analytics Engineer,134160,USD,134160,US,0,US,M
2024,Senior,FT,Software Architect,346100,USD,346100,US,0,US,M
2024,Mid,FT,Data Engineer,210600,USD,210600,US,0,US,M
